"Condition","Group","Organ","Query","Celltype","predicted_cell_type","match","explanation"
"Organ","Trachea","RespiratoryImmune","noquery","plasma cell","Plasma cell","Match","The prediction exactly matches the annotated cell type."
"Organ","Trachea","RespiratoryImmune","query","plasma cell","Plasma cell","Match","The prediction exactly matches the annotated cell type."
"All","Trachea","RespiratoryImmune","noquery","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The predicted result failed to recognize the well-defined cell type."
"All","Trachea","RespiratoryImmune","query","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The predicted result failed to recognize the well-defined cell type."
"Group","Trachea","RespiratoryImmune","noquery","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The predicted result failed to recognize the well-defined cell type."
"Group","Trachea","RespiratoryImmune","query","cd8-positive, alpha-beta t cell","Can't Identify","No Match","The predicted result failed to recognize the well-defined cell type."
"Organ","Trachea","RespiratoryImmune","noquery","cd8-positive, alpha-beta t cell","Cytotoxic T cells","Match","Cytotoxic T cells include CD8-positive T cells; these terms are equivalent in context."
"Organ","Trachea","RespiratoryImmune","query","cd8-positive, alpha-beta t cell","Cytotoxic T cells","Match","Cytotoxic T cells include CD8-positive T cells; these terms are equivalent in context."
"All","Trachea","RespiratoryImmune","noquery","serous cell of epithelium of trachea","Glandular Cells","Partial Match","Serous cells are a type of glandular cell in the epithelium, hence related."
"All","Trachea","RespiratoryImmune","query","serous cell of epithelium of trachea","Glandular Cells","Partial Match","Serous cells are a type of glandular cell in the epithelium, hence related."
"Group","Trachea","RespiratoryImmune","noquery","serous cell of epithelium of trachea","Can't Identify","No Match","The predicted type does not identify or relate to the actual cell type."
"Group","Trachea","RespiratoryImmune","query","serous cell of epithelium of trachea","Can't Identify","No Match","The predicted type does not identify or relate to the actual cell type."
"Organ","Trachea","RespiratoryImmune","noquery","serous cell of epithelium of trachea","Can't Identify","No Match","The predicted type does not identify or relate to the actual cell type."
"Organ","Trachea","RespiratoryImmune","query","serous cell of epithelium of trachea","Can't Identify","No Match","The predicted type does not identify or relate to the actual cell type."
"All","Trachea","RespiratoryImmune","noquery","b cell","Goblet Cells","No Match","B cells are immune cells, whereas goblet cells are mucus-producing epithelial cells."
"All","Trachea","RespiratoryImmune","query","b cell","Can't Identify","No Match","The predicted type does not identify or relate to the actual cell type."
"Group","Trachea","RespiratoryImmune","noquery","b cell","Can't Identify","No Match","The predicted type does not identify or relate to the actual cell type."
"Group","Trachea","RespiratoryImmune","query","b cell","Can't Identify","No Match","The predicted type does not identify or relate to the actual cell type."
"Organ","Trachea","RespiratoryImmune","noquery","b cell","B Cells","Match","""B Cells"" is another way to refer to ""b cell""."
"Organ","Trachea","RespiratoryImmune","query","b cell","B Cells","Match","""B Cells"" is another way to refer to ""b cell""."
"All","Trachea","RespiratoryImmune","noquery","cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction fails to identify the specified T cell subtype."
"All","Trachea","RespiratoryImmune","query","cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction fails to identify the specified T cell subtype."
"Group","Trachea","RespiratoryImmune","noquery","cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction fails to identify the specified T cell subtype."
"Group","Trachea","RespiratoryImmune","query","cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction fails to identify the specified T cell subtype."
"Organ","Trachea","RespiratoryImmune","noquery","cd4-positive, alpha-beta t cell","T cells","Partial Match","""T cells"" is a broad category that includes the ""cd4-positive, alpha-beta t cell""."
"Organ","Trachea","RespiratoryImmune","query","cd4-positive, alpha-beta t cell","T cells","Partial Match","""T cells"" is a broad category that includes the ""cd4-positive, alpha-beta t cell""."
"All","Trachea","RespiratoryImmune","noquery","neutrophil","Can't Identify","No Match","The prediction fails to identify the neutrophil cell type."
"All","Trachea","RespiratoryImmune","query","neutrophil","Can't Identify","No Match","The prediction fails to identify the neutrophil cell type."
"Group","Trachea","RespiratoryImmune","noquery","neutrophil","Can't Identify","No Match","The prediction fails to identify the known neutrophil type."
"Group","Trachea","RespiratoryImmune","query","neutrophil","Can't Identify","No Match","The prediction fails to identify the known neutrophil type."
"Organ","Trachea","RespiratoryImmune","noquery","neutrophil","Can't Identify","No Match","The prediction fails to identify the known neutrophil type."
"Organ","Trachea","RespiratoryImmune","query","neutrophil","Can't Identify","No Match","The prediction fails to identify the known neutrophil type."
"All","Trachea","RespiratoryImmune","noquery","goblet cell","Goblet cell","Match","The prediction correctly identifies the goblet cell."
"All","Trachea","RespiratoryImmune","query","goblet cell","Goblet cell","Match","The prediction correctly identifies the goblet cell."
"Group","Trachea","RespiratoryImmune","noquery","goblet cell","Can't Identify","No Match","The prediction fails to identify the known goblet cell."
"Group","Trachea","RespiratoryImmune","query","goblet cell","Can't Identify","No Match","The prediction fails to identify the known goblet cell."
"Organ","Trachea","RespiratoryImmune","noquery","goblet cell","Can't Identify","No Match","The prediction fails to identify the known goblet cell."
"Organ","Trachea","RespiratoryImmune","query","goblet cell","Can't Identify","No Match","The prediction fails to identify the known goblet cell."
"All","Trachea","RespiratoryImmune","noquery","connective tissue cell","Can't Identify","No Match","The prediction ""Can't Identify"" does not specify a cell type."
"All","Trachea","RespiratoryImmune","query","connective tissue cell","Can't Identify","No Match","The prediction ""Can't Identify"" does not specify a cell type."
"Group","Trachea","RespiratoryImmune","noquery","connective tissue cell","Can't Identify","No Match","The prediction ""Can't Identify"" does not specify a cell type."
"Group","Trachea","RespiratoryImmune","query","connective tissue cell","Can't Identify","No Match","The prediction ""Can't Identify"" does not specify a cell type."
"Organ","Trachea","RespiratoryImmune","noquery","connective tissue cell","Can't Identify","No Match","The prediction ""Can't Identify"" does not specify a cell type."
"Organ","Trachea","RespiratoryImmune","query","connective tissue cell","Can't Identify","No Match","The prediction ""Can't Identify"" does not specify a cell type."
"All","Mammary","ReproductiveEndocrine","noquery","fibroblast of breast","Can't Identify","No Match","The prediction ""Can't Identify"" does not specify a cell type."
"All","Mammary","ReproductiveEndocrine","query","fibroblast of breast","Can't Identify","No Match","The prediction ""Can't Identify"" does not specify a cell type."
"Group","Mammary","ReproductiveEndocrine","noquery","fibroblast of breast","Can't Identify","No Match","The prediction ""Can't Identify"" does not specify a cell type."
"Group","Mammary","ReproductiveEndocrine","query","fibroblast of breast","Can't Identify","No Match","The prediction ""Can't Identify"" does not specify a cell type."
"Organ","Mammary","ReproductiveEndocrine","noquery","fibroblast of breast","Can't Identify","No Match","Predicted cell type does not correspond to the actual type."
"Organ","Mammary","ReproductiveEndocrine","query","fibroblast of breast","Can't Identify","No Match","Predicted cell type does not correspond to the actual type."
"All","Mammary","ReproductiveEndocrine","noquery","t cell","T Cell","Match","Predicted cell type matches the actual type."
"All","Mammary","ReproductiveEndocrine","query","t cell","T Cell","Match","Predicted cell type matches the actual type."
"Group","Mammary","ReproductiveEndocrine","noquery","t cell","Can't Identify","No Match","Predicted cell type does not correspond to the actual type."
"Group","Mammary","ReproductiveEndocrine","query","t cell","Can't Identify","No Match","Predicted cell type does not correspond to the actual type."
"Organ","Mammary","ReproductiveEndocrine","noquery","t cell","T Cell","Match","Predicted cell type matches the actual type."
"Organ","Mammary","ReproductiveEndocrine","query","t cell","T Cell","Match","Predicted cell type matches the actual type."
"All","Mammary","ReproductiveEndocrine","noquery","luminal epithelial cell of mammary gland","Luminal cells","Partial Match","Predicted cell type is less specific than the actual type."
"All","Mammary","ReproductiveEndocrine","query","luminal epithelial cell of mammary gland","Luminal cells","Partial Match","Predicted cell type is less specific than the actual type."
"Group","Mammary","ReproductiveEndocrine","noquery","luminal epithelial cell of mammary gland","Can't Identify","No Match","The predicted cell type does not correspond to the specific epithelial cell."
"Group","Mammary","ReproductiveEndocrine","query","luminal epithelial cell of mammary gland","Can't Identify","No Match","The predicted cell type does not correspond to the specific epithelial cell."
"Organ","Mammary","ReproductiveEndocrine","noquery","luminal epithelial cell of mammary gland","Basal cells","No Match","Basal cells and luminal epithelial cells are distinct mammary gland cell types."
"Organ","Mammary","ReproductiveEndocrine","query","luminal epithelial cell of mammary gland","Basal cells","No Match","Basal cells and luminal epithelial cells are distinct mammary gland cell types."
"All","Mammary","ReproductiveEndocrine","noquery","macrophage","Can't Identify","No Match","The predicted cell type does not correspond to the macrophage cell type."
"All","Mammary","ReproductiveEndocrine","query","macrophage","Can't Identify","No Match","The predicted cell type does not correspond to the macrophage cell type."
"Group","Mammary","ReproductiveEndocrine","noquery","macrophage","Can't Identify","No Match","The predicted cell type does not correspond to the macrophage cell type."
"Group","Mammary","ReproductiveEndocrine","query","macrophage","Can't Identify","No Match","The predicted cell type does not correspond to the macrophage cell type."
"Organ","Mammary","ReproductiveEndocrine","noquery","macrophage","Can't Identify","No Match","The predicted cell type does not correspond to the macrophage cell type."
"Organ","Mammary","ReproductiveEndocrine","query","macrophage","Can't Identify","No Match","The predicted cell type does not correspond to the macrophage cell type."
"All","Mammary","ReproductiveEndocrine","noquery","pericyte cell","Can't Identify","No Match","Prediction failed to identify a specific cell type."
"All","Mammary","ReproductiveEndocrine","query","pericyte cell","Can't Identify","No Match","Prediction failed to identify a specific cell type."
"Group","Mammary","ReproductiveEndocrine","noquery","pericyte cell","Can't Identify","No Match","Prediction failed to identify a specific cell type."
"Group","Mammary","ReproductiveEndocrine","query","pericyte cell","Can't Identify","No Match","Prediction failed to identify a specific cell type."
"Organ","Mammary","ReproductiveEndocrine","noquery","pericyte cell","Can't Identify","No Match","Prediction failed to identify a specific cell type."
"Organ","Mammary","ReproductiveEndocrine","query","pericyte cell","Can't Identify","No Match","Prediction failed to identify a specific cell type."
"All","Mammary","ReproductiveEndocrine","noquery","vascular associated smooth muscle cell","Can't Identify","No Match","Prediction failed to identify a specific cell type."
"All","Mammary","ReproductiveEndocrine","query","vascular associated smooth muscle cell","Can't Identify","No Match","Prediction failed to identify a specific cell type."
"Group","Mammary","ReproductiveEndocrine","noquery","vascular associated smooth muscle cell","Can't Identify","No Match","Prediction failed to identify a specific cell type."
"Group","Mammary","ReproductiveEndocrine","query","vascular associated smooth muscle cell","Can't Identify","No Match","Prediction failed to identify a specific cell type."
"Organ","Mammary","ReproductiveEndocrine","noquery","vascular associated smooth muscle cell","Can't Identify","No Match","The prediction does not reference the annotated cell type."
"Organ","Mammary","ReproductiveEndocrine","query","vascular associated smooth muscle cell","Can't Identify","No Match","The prediction does not reference the annotated cell type."
"All","Mammary","ReproductiveEndocrine","noquery","b cell","Can't Identify","No Match","The prediction does not reference the annotated cell type."
"All","Mammary","ReproductiveEndocrine","query","b cell","Can't Identify","No Match","The prediction does not reference the annotated cell type."
"Group","Mammary","ReproductiveEndocrine","noquery","b cell","B cells","Match","""B cells"" and ""b cell"" refer to the same cell type."
"Group","Mammary","ReproductiveEndocrine","query","b cell","B cells","Match","""B cells"" and ""b cell"" refer to the same cell type."
"Organ","Mammary","ReproductiveEndocrine","noquery","b cell","B cells","Match","""B cells"" and ""b cell"" refer to the same cell type."
"Organ","Mammary","ReproductiveEndocrine","query","b cell","B cells","Match","""B cells"" and ""b cell"" refer to the same cell type."
"All","Mammary","ReproductiveEndocrine","noquery","vein endothelial cell","Can't Identify","No Match","The prediction does not reference the annotated cell type."
"All","Mammary","ReproductiveEndocrine","query","vein endothelial cell","Can't Identify","No Match","The prediction does not reference the annotated cell type."
"Group","Mammary","ReproductiveEndocrine","noquery","vein endothelial cell","Can't Identify","No Match","The prediction did not identify the specific cell type."
